2012-07-12 10:42:19+0800 [scrapy] INFO: Scrapy 0.14.4 started (bot: coreSpider)
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=personal_loans.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=business_cards.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=business_retirement.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=privacy.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=security.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxsurvey_questions.aspx 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=privacy.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=security.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://www.watchfire.com/statements/terms.aspx 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Crawled (200) <GET http://demo.testfire.net/default.aspx?content=security.htm> (referer: http://demo.testfire.net/)
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmbank/login.aspx 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=inside_contact.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmfeedback.aspx 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmbank/login.aspx 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=personal.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=business.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=inside.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=personal.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=personal_deposit.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=personal_checking.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=personal_loans.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=personal_cards.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=personal_investments.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=personal_other.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=business.htm 
